Request rate,Request type,Response time
L,L,3.240865321197731
L,L,2.7118174624109734
L,L,2.716471053672689
L,L,2.832805907172996
L,L,2.760152953586498
L,M,7.985865257595773
L,M,8.051644432703737
L,M,8.898730830248546
L,M,8.702088289717155
L,M,8.38404648705758
L,H,18.932088058705805
L,H,26.125233894680566
L,H,23.074801560608098
L,H,24.27149926441086
L,H,17.913857677902623
M,L,2.4888490641178813
M,L,2.6729108542580047
M,L,2.4491875332978155
M,L,2.5816793893129772
M,L,2.4263241736360017
M,M,11.939866220735786
M,M,10.774206562668102
M,M,11.113283074254452
M,M,12.928781991156372
M,M,10.447375432986943
M,H,149.86095060577819
M,H,140.64632894859596
M,H,145.4490822696357
M,H,137.35300276006473
M,H,131.06506156956442
H,L,2.8614037427212518
H,L,2.9276573053679344
H,L,2.860258517301115
H,L,2.7918332889007376
H,L,2.9183220015109095
H,M,21.269595536959553
H,M,12.080889288120368
H,M,15.210862619808307
H,M,23.764483274154365
H,M,15.107792325877432
H,H,377.7596058222584
H,H,389.51289636683
H,H,383.9874504014026
H,H,402.64398644833426
H,H,382.9130790934741
